Event,Subject,Gender,Author Gender,Story Genre
accompany,her,F,Female,ChildrensLiterature
find,she,F,Female,ChildrensLiterature
mean,he,M,Female,ChildrensLiterature
take,he,M,Female,ChildrensLiterature
suppose,she,F,Female,ChildrensLiterature
have,her,F,Female,ChildrensLiterature
spare,her,F,Female,ChildrensLiterature
expect,her,F,Female,ChildrensLiterature
see,he,M,Female,ChildrensLiterature
grow,he,M,Female,ChildrensLiterature
think,she,F,Female,ChildrensLiterature
spare,her,F,Female,ChildrensLiterature
want,she,F,Female,ChildrensLiterature
like,she,F,Female,ChildrensLiterature
should,she,F,Female,ChildrensLiterature
ask,her,F,Female,ChildrensLiterature
use,she,F,Female,ChildrensLiterature
ask,she,F,Female,ChildrensLiterature
come,he,M,Female,ChildrensLiterature
consider,he,M,Female,ChildrensLiterature
ask,him,M,Female,ChildrensLiterature
call,she,F,Female,ChildrensLiterature
call,him,M,Female,ChildrensLiterature
close,he,M,Female,ChildrensLiterature
knewmore,she,F,Female,ChildrensLiterature
ought,she,F,Female,ChildrensLiterature
go,she,F,Female,ChildrensLiterature
go,her,F,Female,ChildrensLiterature
spare,her,F,Female,ChildrensLiterature
tell,he,M,Female,ChildrensLiterature
ask,her,F,Female,ChildrensLiterature
appear,she,F,Female,ChildrensLiterature
ought,she,F,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
deny,she,F,Female,ChildrensLiterature
make,she,F,Female,ChildrensLiterature
follow,her,F,Female,ChildrensLiterature
turn,she,F,Female,ChildrensLiterature
help,she,F,Female,ChildrensLiterature
dine,she,F,Female,ChildrensLiterature
come,she,F,Female,ChildrensLiterature
do,mrs.,F,Female,ChildrensLiterature
oblige,she,F,Female,ChildrensLiterature
spare,her,F,Female,ChildrensLiterature
endeavour,she,F,Female,ChildrensLiterature
miss,her,F,Female,ChildrensLiterature
respect,he,M,Female,ChildrensLiterature
leave,him,M,Female,ChildrensLiterature
rate,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
speak,her,F,Female,ChildrensLiterature
follow,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
come,her,F,Female,ChildrensLiterature
cost,her,F,Female,ChildrensLiterature
see,him,M,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
observe,her,F,Female,ChildrensLiterature
perform,she,F,Female,ChildrensLiterature
submit,she,F,Female,ChildrensLiterature
find,she,F,Female,ChildrensLiterature
require,she,F,Female,ChildrensLiterature
leave,her,F,Female,ChildrensLiterature
compliment,she,F,Female,ChildrensLiterature
compliment,gentleman,M,Female,ChildrensLiterature
seem,he,M,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
stay,him,M,Female,ChildrensLiterature
speak,him,M,Female,ChildrensLiterature
see,him,M,Female,ChildrensLiterature
know,he,M,Female,ChildrensLiterature
hear,she,F,Female,ChildrensLiterature
begin,he,M,Female,ChildrensLiterature
hate,him,M,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
figure,he,M,Female,ChildrensLiterature
make,him,M,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
learn,him,M,Female,ChildrensLiterature
give,him,M,Female,ChildrensLiterature
exclaim,he,M,Female,ChildrensLiterature
continue,he,M,Female,ChildrensLiterature
seem,he,M,Female,ChildrensLiterature
arrive,he,M,Female,ChildrensLiterature
speak,she,F,Female,ChildrensLiterature
tremble,she,F,Female,ChildrensLiterature
engage,he,M,Female,ChildrensLiterature
engage,her,F,Female,ChildrensLiterature
advance,he,M,Female,ChildrensLiterature
take,he,M,Female,ChildrensLiterature
live,he,M,Female,ChildrensLiterature
think,she,F,Female,ChildrensLiterature
check,she,F,Female,ChildrensLiterature
feel,he,M,Female,ChildrensLiterature
feel,he,M,Female,ChildrensLiterature
ought,he,M,Female,ChildrensLiterature
remain,she,F,Female,ChildrensLiterature
avoid,she,F,Female,ChildrensLiterature
soothe,she,F,Female,ChildrensLiterature
think,she,F,Female,ChildrensLiterature
begin,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
meet,she,F,Female,ChildrensLiterature
meet,him,M,Female,ChildrensLiterature
know,he,M,Female,ChildrensLiterature
stoop,she,F,Female,ChildrensLiterature
learn,she,F,Female,ChildrensLiterature
match,him,M,Female,ChildrensLiterature
admit,she,F,Female,ChildrensLiterature
command,he,M,Female,ChildrensLiterature
look,he,M,Female,ChildrensLiterature
seal,he,M,Female,ChildrensLiterature
see,her,F,Female,ChildrensLiterature
grow,she,F,Female,ChildrensLiterature
compare,her,F,Female,ChildrensLiterature
get,she,F,Female,ChildrensLiterature
dress,her,F,Female,ChildrensLiterature
understand,her,F,Female,ChildrensLiterature
draw,she,F,Female,ChildrensLiterature
speak,her,F,Female,ChildrensLiterature
entertain,her,F,Female,ChildrensLiterature
shall,she,F,Female,ChildrensLiterature
care,her,F,Female,ChildrensLiterature
give,her,F,Female,ChildrensLiterature
kill,her,F,Female,ChildrensLiterature
look,her,F,Female,ChildrensLiterature
leave,she,F,Female,ChildrensLiterature
deserve,she,F,Female,ChildrensLiterature
escape,she,F,Female,ChildrensLiterature
attack,he,M,Female,ChildrensLiterature
characteroblige,her,F,Female,ChildrensLiterature
dislike,him,M,Female,ChildrensLiterature
forget,she,F,Female,ChildrensLiterature
think,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
give,her,F,Female,ChildrensLiterature
dispose,her,F,Female,ChildrensLiterature
hope,he,M,Female,ChildrensLiterature
find,he,M,Female,ChildrensLiterature
tremble,her,F,Female,ChildrensLiterature
have,her,F,Female,ChildrensLiterature
determine,him,M,Female,ChildrensLiterature
please,her,F,Female,ChildrensLiterature
prove,he,M,Female,ChildrensLiterature
hope,he,M,Female,ChildrensLiterature
elevate,she,F,Female,ChildrensLiterature
see,him,M,Female,ChildrensLiterature
find,she,F,Female,ChildrensLiterature
bring,her,F,Female,ChildrensLiterature
wait,she,F,Female,ChildrensLiterature
enter,he,M,Female,ChildrensLiterature
equip,he,M,Female,ChildrensLiterature
confirm,him,M,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
express,him,M,Female,ChildrensLiterature
tell,her,F,Female,ChildrensLiterature
hear,she,F,Female,ChildrensLiterature
direct,she,F,Female,ChildrensLiterature
honour,he,M,Female,ChildrensLiterature
lead,him,M,Female,ChildrensLiterature
interest,she,F,Female,ChildrensLiterature
interest,him,M,Female,ChildrensLiterature
foresee,he,M,Female,ChildrensLiterature
listen,he,M,Female,ChildrensLiterature
long,he,M,Female,ChildrensLiterature
feel,he,M,Female,ChildrensLiterature
wish,he,M,Female,ChildrensLiterature
rouse,he,M,Female,ChildrensLiterature
find,he,M,Female,ChildrensLiterature
give,him,M,Female,ChildrensLiterature
wish,he,M,Female,ChildrensLiterature
mount,him,M,Female,ChildrensLiterature
fear,she,F,Female,ChildrensLiterature
relate,he,M,Female,ChildrensLiterature
engage,he,M,Female,ChildrensLiterature
ride,he,M,Female,ChildrensLiterature
return,he,M,Female,ChildrensLiterature
reconcile,she,F,Female,ChildrensLiterature
intend,he,M,Female,ChildrensLiterature
allow,she,F,Female,ChildrensLiterature
remain,he,M,Female,ChildrensLiterature
avoid,he,M,Female,ChildrensLiterature
begin,he,M,Female,ChildrensLiterature
hesitate,she,F,Female,ChildrensLiterature
play,she,F,Female,ChildrensLiterature
assure,her,F,Female,ChildrensLiterature
continue,he,M,Female,ChildrensLiterature
keep,her,F,Female,ChildrensLiterature
direct,her,F,Female,ChildrensLiterature
agree,he,M,Female,ChildrensLiterature
pay,her,F,Female,ChildrensLiterature
give,she,F,Female,ChildrensLiterature
could,he,M,Female,ChildrensLiterature
buy,her,F,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
shake,he,M,Female,ChildrensLiterature
give,him,M,Female,ChildrensLiterature
add,he,M,Female,ChildrensLiterature
call,she,F,Female,ChildrensLiterature
depend,he,M,Female,ChildrensLiterature
stop,she,F,Female,ChildrensLiterature
become,he,M,Female,ChildrensLiterature
find,he,M,Female,ChildrensLiterature
tell,he,M,Female,ChildrensLiterature
tell,her,F,Female,ChildrensLiterature
accommodate,him,M,Female,ChildrensLiterature
set,he,M,Female,ChildrensLiterature
